applet	go_package	alias_of	family	gnu_coreutils	vsc_named_tset	test_files	test_functions
[	cmds/test	test	GNU Coreutils	yes	no	3	32
arch	cmds/arch		GNU Coreutils	yes	no	1	2
ast	cmds/ast		Bashy/other extension	no	no	1	6
at	cmds/at		POSIX/Unix utility	no	yes	5	21
atq	cmds/atq		Bashy/other extension	no	no	1	2
atrm	cmds/atrm		Bashy/other extension	no	no	1	2
awk	cmds/awk		POSIX/Unix utility	no	yes	3	20
b2sum	cmds/b2sum		GNU Coreutils	yes	no	1	5
base32	cmds/base32		GNU Coreutils	yes	no	1	7
base64	cmds/base64		GNU Coreutils	yes	no	2	9
basename	cmds/basename		GNU Coreutils	yes	yes	1	5
basenc	cmds/basenc		GNU Coreutils	yes	no	1	7
batch	cmds/batch		POSIX/Unix utility	no	yes	1	6
browser	cmds/browser		Bashy/other extension	no	no	1	9
cal	cmds/cal		Bashy/other extension	no	no	1	6
cat	cmds/cat		GNU Coreutils	yes	yes	2	7
chcon	cmds/chcon		GNU Coreutils	yes	no	2	7
chgrp	cmds/chgrp		GNU Coreutils	yes	yes	2	15
chmod	cmds/chmod		GNU Coreutils	yes	yes	2	20
chown	cmds/chown		GNU Coreutils	yes	yes	2	14
cksum	cmds/cksum		GNU Coreutils	yes	yes	1	9
clip	cmds/clip		Bashy/other extension	no	no	1	1
cmp	cmds/cmp		POSIX/Unix utility	no	yes	1	12
comm	cmds/comm		GNU Coreutils	yes	yes	1	9
cp	cmds/cp		GNU Coreutils	yes	yes	3	30
crontab	cmds/crontab		POSIX/Unix utility	no	yes	1	10
csplit	cmds/csplit		GNU Coreutils	yes	yes	1	15
cut	cmds/cut		GNU Coreutils	yes	yes	2	10
date	cmds/date		GNU Coreutils	yes	yes	1	12
dd	cmds/dd		GNU Coreutils	yes	yes	2	36
df	cmds/df		GNU Coreutils	yes	yes	1	16
diff	cmds/diff		POSIX/Unix utility	no	yes	4	42
dir	cmds/dir		GNU Coreutils	yes	no	1	4
dircolors	cmds/dircolors		GNU Coreutils	yes	no	1	12
dirname	cmds/dirname		GNU Coreutils	yes	yes	1	4
du	cmds/du		GNU Coreutils	yes	yes	1	26
duration	cmds/duration		Bashy/other extension	no	no	1	2
echo	cmds/echo		GNU Coreutils	yes	yes	1	3
env	cmds/env		GNU Coreutils	yes	yes	4	27
expand	cmds/expand		GNU Coreutils	yes	yes	1	15
expr	cmds/expr		GNU Coreutils	yes	yes	1	8
factor	cmds/factor		GNU Coreutils	yes	no	1	3
false	cmds/false		GNU Coreutils	yes	yes	1	2
fetch	cmds/fetch		Bashy/other extension	no	no	1	6
file	cmds/file		POSIX/Unix utility	no	yes	1	4
find	cmds/find		POSIX/Unix utility	no	yes	6	48
fmt	cmds/fmt		GNU Coreutils	yes	no	1	18
fold	cmds/fold		GNU Coreutils	yes	yes	1	19
grep	cmds/grep		POSIX/Unix utility	no	yes	3	36
groups	cmds/groups		GNU Coreutils	yes	no	1	1
gunzip	cmds/gzip	gzip	Bashy/other extension	no	no	1	10
gzip	cmds/gzip		Bashy/other extension	no	no	1	10
head	cmds/head		GNU Coreutils	yes	yes	1	8
hexdump	cmds/hexdump		Bashy/other extension	no	no	1	6
hostid	cmds/hostid		GNU Coreutils	yes	no	1	1
hostname	cmds/hostname		GNU Coreutils	yes	no	1	4
iconv	cmds/iconv		POSIX/Unix utility	no	yes	1	8
id	cmds/id		GNU Coreutils	yes	yes	2	17
install	cmds/install		GNU Coreutils	yes	no	1	21
join	cmds/join		GNU Coreutils	yes	yes	1	6
jq	cmds/jq		Bashy/other extension	no	no	1	7
kill	cmds/kill		GNU Coreutils	yes	yes	3	4
link	cmds/link		GNU Coreutils	yes	no	1	3
ln	cmds/ln		GNU Coreutils	yes	yes	1	20
logname	cmds/logname		GNU Coreutils	yes	yes	1	7
