# POSIX external provider manifest — the commands the Go multicall does not implement.
#
# LICENSE POSTURE (this is why the file is shaped this way):
# Every provider below is COPYLEFT — GPL-2.0, GPL-3.0, or the Vim license. None
# is permissive. Building these and hosting the BINARIES would make this project
# a distributor and trigger GPLv3 s6 / GPLv2 s3: convey corresponding source,
# build scripts and installation information, for every artifact, indefinitely.
#
# So build and download are deliberately SEPARATED:
#   download -> UPSTREAM source only, pinned by sha256. Upstream is the
#               distributor; its obligations are already discharged.
#   build    -> LOCAL, from the recipe in build.sh. A binary you build for
#               yourself is not distribution, so no obligation is triggered.
#   we ship  -> this manifest and the recipe. Our own work, our own license.
#
# Never mirror or republish the built binaries. If an organisation chooses to
# host an internal prebuilt mirror, that is ITS distribution and it must ship
# the corresponding source alongside; this project does not.
#
# VERSIONS are pinned to exactly what the Profile A/B reference host runs, so a
# Profile C arm differs from A only in WHO supplies the command, never in which
# implementation. Re-pin only together with the reference image.
#
# sha256 is of the upstream artifact as downloaded, verified before extraction.
# An entry without a digest is REFUSED, never built.
#
# command	version	license	sha256	url
make	4.3	GPL-3.0	e05fdde47c5f7ca45cb697e973894ff4f5d79e13b750ed57d7b66d8defc78e19	https://ftp.gnu.org/gnu/make/make-4.3.tar.gz
bc	1.07.1	GPL-3.0	62adfca89b0a1c0164c2cdca59ca210c1d44c3ffc46daf9931cf4942664cb02a	https://ftp.gnu.org/gnu/bc/bc-1.07.1.tar.gz
patch	2.7.6	GPL-3.0	ac610bda97abe0d9f6b7c963255a11dcb196c25e337c61f94e4778d632f1d8fd	https://ftp.gnu.org/gnu/patch/patch-2.7.6.tar.xz
m4	1.4.19	GPL-3.0	63aede5c6d33b6d9b13511cd0be2cac046f2e70fd0a07aa9573a04a82783af96	https://ftp.gnu.org/gnu/m4/m4-1.4.19.tar.xz
ed	1.20.1	GPL-2.0	b1a463b297a141f9876c4b1fcd01477f645cded92168090e9a35db2af4babbca	https://ftp.gnu.org/gnu/ed/ed-1.20.1.tar.lz
man	2.12.0	GPL-3.0	415a6284a22764ad22ff0f66710d853be7790dd451cd71436e3d25c74d996a95	https://download.savannah.gnu.org/releases/man-db/man-db-2.12.0.tar.xz
ctags	6.2.1	GPL-2.0	f56829e9a576025e98955597ee967099a871987b3476fbd8dbbc2b9dc921f824	https://github.com/universal-ctags/ctags/archive/refs/tags/v6.2.1.tar.gz
ar	2.42	GPL-3.0	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
nm	2.42	GPL-3.0	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
strip	2.42	GPL-3.0	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
ex	9.1.0016	Vim	abe876bb18554bb1eb69d23eaabe89caabeef182737e9e8bfa4cc298dee061df	https://github.com/vim/vim/archive/refs/tags/v9.1.0016.tar.gz
vi	9.1.0016	Vim	abe876bb18554bb1eb69d23eaabe89caabeef182737e9e8bfa4cc298dee061df	https://github.com/vim/vim/archive/refs/tags/v9.1.0016.tar.gz
# pax: Debian sources 1:20201030 from a non-GNU upstream; pin pending source identification.
